Altium Designer Pick and Place Locations
C:\Users\Sasa\Desktop\git\_public_sk_repos\winfidel\Hardware\Altium Source Files\Project Outputs for ESP_Infidel\Pick Place\Pick Place for ESP_Infidel_PCB.txt

========================================================================================================================
File Design Information:

Date:       21-04-24
Time:       22:45
Revision:   85cc5219e9d89714d4e08f4f414a013a070eb1d8
Variant:    No variations
Units used: mil

Designator Comment                            Layer       Footprint                Center-X(mil) Center-Y(mil) Rotation Description                                                                                          
C25        Cap                                TopLayer    0603_-_CAP               1133.858mil   639.764mil    90       Capacitor                                                                                            
C24        Cap                                TopLayer    0603_-_CAP               456.693mil    653.543mil    90       Capacitor                                                                                            
R5         Res                                TopLayer    0603                     874.016mil    86.614mil     180      Resistor                                                                                             
C23        Cap                                TopLayer    0603_-_CAP               582.677mil    70.866mil     90       Capacitor                                                                                            
P2         "Header 5"                         TopLayer    Header_5x1               1681.102mil   720.472mil    180      "Header, 5-Pin"                                                                                      
R12        Res                                TopLayer    0603                     826.772mil    694.882mil    0        Resistor                                                                                             
C21        Cap                                TopLayer    0603_-_CAP               1072.835mil   639.764mil    90       Capacitor                                                                                            
C20        Cap                                TopLayer    0603_-_CAP               826.772mil    635.827mil    0        Capacitor                                                                                            
U4         MCP3221A5T-E/OT                    TopLayer    SOT95P270X145-5N         964.567mil    639.764mil    270      "10 Bit Analog to Digital Converter 1 Input 1 SAR SOT-23-5"                                          
U3         DRV5055A2QLPGM                     BottomLayer SS490A                   650.000mil    669.680mil    0        "Hall Effect Sensor Single Axis Radial Lead"                                                         
U1         "IC REG LINEAR 3.3V 300MA SOT23-5" TopLayer    SOT-23-5                 1606.701mil   482.284mil    90       "600mA null 3.3V positive 6V SOT-25 Linear Voltage Regulators (LDO) ROHS"                            
R10        Res                                TopLayer    0603                     1192.913mil   639.764mil    270      Resistor                                                                                             
R9         Res                                TopLayer    0603                     1251.968mil   639.764mil    270      Resistor                                                                                             
C22        Cap                                TopLayer    0603_-_CAP               515.748mil    653.543mil    90       Capacitor                                                                                            
C6         Cap                                TopLayer    0805                     1374.016mil   480.315mil    90       Capacitor                                                                                            
C5         Cap                                TopLayer    0603_-_CAP               1442.913mil   482.284mil    90       Capacitor                                                                                            
C4         Cap                                TopLayer    0603_-_CAP               1501.968mil   482.284mil    90       Capacitor                                                                                            
C2         Cap                                TopLayer    0603_-_CAP               1710.630mil   482.284mil    270      Capacitor                                                                                            
C3         Cap                                TopLayer    0603_-_CAP               1769.685mil   482.284mil    270      Capacitor                                                                                            
C1         Cap                                TopLayer    0805                     1838.582mil   482.284mil    270      Capacitor                                                                                            
